x dx y dy
12.256 0.5379333333333334 268.378 121.03500000000001
16.14 0.446 383.1 98.85
18.307 0.3383333333333333 635.588 147.84
15.667 0.5666666666666667 349.258 118.245
14.895 0.5001333333333333 382.225 100.65
15.727 0.5870666666666666 435.785 131.565
8.725 0.5232 131.647 125.74499999999999
9.008 0.5302 120.841 93.465
10.493 0.4610666666666667 144.397 119.295
14.292 0.6274666666666667 287.589 127.5
2.675 0.4962 11.984 89.205
15.93 0.45193333333333335 423.585 111.645
17.028 0.4675333333333333 665.867 92.535
16.751 0.45266666666666666 415.133 76.125
18.656 0.3786 630.537 141.18
8.112 0.4393333333333333 88.014 100.35000000000001
15.292 0.4746666666666667 461.29 103.74000000000001
4.265 0.6217333333333334 39.231 135.345
19.732 0.5606666666666666 942.521 132.08999999999997
14.305 0.5691333333333334 314.305 126.76500000000001
5.16 0.6570666666666667 11.121 77.175
4.794 0.6015333333333334 33.755 105.195
13.22 0.5790666666666666 212.051 106.8
7.807 0.5966666666666666 78.745 101.685
8.138 0.5634666666666667 105.148 149.61
14.065 0.4473333333333333 346.489 79.35
16.025 0.5588666666666666 487.639 120.525
6.27 0.6527333333333334 43.81 130.29
11.711 0.4112666666666666 252.741 132.66
6.462 0.5255333333333333 82.776 112.53
9.653 0.5356666666666666 188.198 101.85
12.632 0.4154 230.743 126.78
1.054 0.3526666666666667 5.009 139.89000000000001
6.874 0.6249333333333333 63.599 85.185
7.05 0.34299999999999997 93.249 134.25
11.648 0.6649333333333334 176.323 140.61
8.069 0.5847333333333334 149.053 128.055
10.205 0.5896 175.516 146.865
5.831 0.5634 70.322 134.64000000000001
18.752 0.5984 725.476 126.15
5.183 0.3964666666666667 31.164 117.72
